STORED: PID=14, Name=p14, CurrentInstruction=5, Instructions=1927, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=21, Name=p21, CurrentInstruction=0, Instructions=1882, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=8, Name=p8, CurrentInstruction=10, Instructions=1270, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=9, Name=p9, CurrentInstruction=5, Instructions=1499, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=15, Name=p15, CurrentInstruction=5, Instructions=1402, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=22, Name=p22, CurrentInstruction=0, Instructions=1187, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=16, Name=p16, CurrentInstruction=5, Instructions=1721, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=23, Name=p23, CurrentInstruction=0, Instructions=1022, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=2, Name=p2, CurrentInstruction=15, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=3, Name=p3, CurrentInstruction=10, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=17, Name=p17, CurrentInstruction=5, Instructions=1964, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=24, Name=p24, CurrentInstruction=0, Instructions=1518, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=18, Name=p18, CurrentInstruction=5, Instructions=1272, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=10, Name=p10, CurrentInstruction=5, Instructions=1489, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=9, Name=p9, CurrentInstruction=10, Instructions=1499, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=25, Name=p25, CurrentInstruction=0, Instructions=1371, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=19, Name=p19, CurrentInstruction=5, Instructions=1457, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=11, Name=p11, CurrentInstruction=5, Instructions=1314, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=3, Name=p3, CurrentInstruction=15, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=26, Name=p26, CurrentInstruction=0, Instructions=1995, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=20, Name=p20, CurrentInstruction=5, Instructions=1492, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=27, Name=p27, CurrentInstruction=0, Instructions=1462, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=10, Name=p10, CurrentInstruction=10, Instructions=1489, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=4, Name=p4, CurrentInstruction=10, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=21, Name=p21, CurrentInstruction=5, Instructions=1882, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=28, Name=p28, CurrentInstruction=0, Instructions=1301, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=11, Name=p11, CurrentInstruction=10, Instructions=1314, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=29, Name=p29, CurrentInstruction=0, Instructions=1087, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=22, Name=p22, CurrentInstruction=5, Instructions=1187, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=12, Name=p12, CurrentInstruction=5, Instructions=1760, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=23, Name=p23, CurrentInstruction=5, Instructions=1022, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=30, Name=p30, CurrentInstruction=0, Instructions=1338, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=24, Name=p24, CurrentInstruction=5, Instructions=1518, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=5, Name=p5, CurrentInstruction=10, Instructions=1290, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=4, Name=p4, CurrentInstruction=15, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=31, Name=p31, CurrentInstruction=0, Instructions=1057, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=25, Name=p25, CurrentInstruction=5, Instructions=1371, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=13, Name=p13, CurrentInstruction=5, Instructions=1119, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=26, Name=p26, CurrentInstruction=5, Instructions=1995, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=32, Name=p32, CurrentInstruction=0, Instructions=1609, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=12, Name=p12, CurrentInstruction=10, Instructions=1760, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=33, Name=p33, CurrentInstruction=0, Instructions=1119, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=5, Name=p5, CurrentInstruction=15, Instructions=1290, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=14, Name=p14, CurrentInstruction=5, Instructions=1927, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=27, Name=p27, CurrentInstruction=5, Instructions=1462, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=34, Name=p34, CurrentInstruction=0, Instructions=1400, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=13, Name=p13, CurrentInstruction=10, Instructions=1119, Size=512, Pages=8, Time=2025-08-03 18:19:04
